,Team,Stadium,Lat,Lon
70,Wycombe Wanderers,https://en.wikipedia.org/wiki/Adams_Park,51.630556,-0.800278
71,Rochdale,https://en.wikipedia.org/wiki/Spotland_Stadium,53.620833,-2.18
72,Lincoln City,https://en.wikipedia.org/wiki/Sincil_Bank,53.218289,-0.540811
73,Colchester United,https://en.wikipedia.org/wiki/Colchester_Community_Stadium,51.923333,0.897778
74,Crewe Alexandra,https://en.wikipedia.org/wiki/Alexandra_Stadium,53.087419,-2.435747
0,Milan and Internazionale,https://en.wikipedia.org/wiki/San_Siro,45.478056,9.123889
1,Roma and Lazio,https://en.wikipedia.org/wiki/Stadio_Olimpico,41.933886,12.454786
2,Bari,https://en.wikipedia.org/wiki/Stadio_San_Nicola,41.084736,16.840072
3,Napoli,https://en.wikipedia.org/wiki/Stadio_San_Paolo,40.828056,14.193056
4,Fiorentina,https://en.wikipedia.org/wiki/Stadio_Artemio_Franchi_(Florence),43.780822,11.282258
5,Juventus,https://en.wikipedia.org/wiki/Juventus_Stadium,45.109444,7.641111
6,Lecce,https://en.wikipedia.org/wiki/Stadio_Via_del_Mare,40.365278,18.208889
7,Chievo and Verona,https://en.wikipedia.org/wiki/Stadio_Marc%27Antonio_Bentegodi,45.435356,10.968647
8,Messina,https://en.wikipedia.org/wiki/Stadio_San_Filippo,38.161389,15.520833
9,Bologna,https://en.wikipedia.org/wiki/Stadio_Renato_Dall%27Ara,44.492314,11.309667
10,Genoa and Sampdoria,https://en.wikipedia.org/wiki/Stadio_Luigi_Ferraris,44.416431,8.952428
11,Palermo,https://en.wikipedia.org/wiki/Stadio_Renzo_Barbera,38.152767,13.342275
12,Triestina,https://en.wikipedia.org/wiki/Stadio_Nereo_Rocco,45.6225,13.792778
13,Padova,https://en.wikipedia.org/wiki/Stadio_Euganeo,45.432222,11.858333
14,Salernitana,https://en.wikipedia.org/wiki/Stadio_Arechi,40.645,14.823889
16,Perugia,https://en.wikipedia.org/wiki/Stadio_Renato_Curi,43.106111,12.357222
17,Torino,https://en.wikipedia.org/wiki/Stadio_Olimpico_Grande_Torino,45.04175,7.650014
18,Taranto,https://en.wikipedia.org/wiki/Stadio_Erasmo_Iacovone,40.452778,17.27
19,Reggina,https://en.wikipedia.org/wiki/Stadio_Oreste_Granillo,38.092778,15.635278
20,Atalanta and AlbinoLeffe,https://en.wikipedia.org/wiki/Stadio_Atleti_Azzurri_d%27Italia,45.708889,9.680833
21,Avellino,https://en.wikipedia.org/wiki/Stadio_Partenio-Adriano_Lombardi,40.926944,14.7925
22,Benevento,https://en.wikipedia.org/wiki/Stadio_Ciro_Vigorito,41.116389,14.781111
23,Udinese,https://en.wikipedia.org/wiki/Stadio_Friuli,46.081667,13.2
24,Foggia,https://en.wikipedia.org/wiki/Stadio_Pino_Zaccheria,41.454444,15.5425
25,Pisa,https://en.wikipedia.org/wiki/Arena_Garibaldi_-_Stadio_Romeo_Anconetani,43.725278,10.4
26,Cosenza,https://en.wikipedia.org/wiki/Stadio_San_Vito,39.31,16.231111
27,Ancona,https://en.wikipedia.org/wiki/Stadio_del_Conero,43.563889,13.526111
28,Cesena,https://en.wikipedia.org/wiki/Stadio_Dino_Manuzzi,44.140556,12.261944
29,Sassuolo and Reggiana,https://en.wikipedia.org/wiki/Mapei_Stadium_%E2%80%93_Citt%C3%A0_del_Tricolore,44.714722,10.649722
30,Catania,https://en.wikipedia.org/wiki/Stadio_Angelo_Massimino,37.515833,15.071389
31,Parma,https://en.wikipedia.org/wiki/Stadio_Ennio_Tardini,44.794917,10.338444
32,Sambenedettese,https://en.wikipedia.org/wiki/Stadio_Riviera_delle_Palme,42.930556,13.884722
33,Piacenza,https://en.wikipedia.org/wiki/Stadio_Leonardo_Garilli,45.029722,9.689722
34,Modena,https://en.wikipedia.org/wiki/Stadio_Alberto_Braglia,44.653611,10.923333
35,Cremonese,https://en.wikipedia.org/wiki/Stadio_Giovanni_Zini,45.140278,10.034722
36,Ascoli,https://en.wikipedia.org/wiki/Stadio_Cino_e_Lillo_Del_Duca,42.861111,13.594167
37,Pescara,https://en.wikipedia.org/wiki/Stadio_Adriatico,42.455278,14.229444
38,Livorno,https://en.wikipedia.org/wiki/Stadio_Armando_Picchi,43.526667,10.314167
39,Monza,https://en.wikipedia.org/wiki/Stadio_Brianteo,45.582778,9.308056
40,Novara,https://en.wikipedia.org/wiki/Stadio_Silvio_Piola_(Novara),45.435833,8.595833
41,Ternana,https://en.wikipedia.org/wiki/Stadio_Libero_Liberati,42.562222,12.635278
42,Brescia,https://en.wikipedia.org/wiki/Stadio_Mario_Rigamonti,45.570556,10.236944
43,Crotone,https://en.wikipedia.org/wiki/Stadio_Ezio_Scida,39.079167,17.116667
44,Empoli,https://en.wikipedia.org/wiki/Stadio_Carlo_Castellani,43.726389,10.955
45,Cagliari,https://en.wikipedia.org/wiki/Sardegna_Arena,39.2,9.1375
46,SPAL,https://en.wikipedia.org/wiki/Stadio_Paolo_Mazza,44.839722,11.6075
47,Frosinone,https://en.wikipedia.org/wiki/Stadio_Benito_Stirpe,41.634167,13.321944
48,Siena,https://en.wikipedia.org/wiki/Stadio_Artemio_Franchi_-_Montepaschi_Arena,43.321667,11.326111
49,Mantova,https://en.wikipedia.org/wiki/Stadio_Danilo_Martelli,45.146111,10.794167
51,Como,https://en.wikipedia.org/wiki/Stadio_Giuseppe_Sinigaglia,45.813889,9.072222
52,Pistoiese,https://en.wikipedia.org/wiki/Stadio_Marcello_Melani,43.940833,10.914722
53,Arezzo,https://en.wikipedia.org/wiki/Stadio_Citt%C3%A0_di_Arezzo,43.451111,11.894444
54,Vicenza,https://en.wikipedia.org/wiki/Stadio_Romeo_Menti,45.544167,11.555556
55,Juve Stabia,https://en.wikipedia.org/wiki/Stadio_Romeo_Menti_(Castellammare_di_Stabia),40.706667,14.494444
56,Cavese,https://en.wikipedia.org/wiki/Stadio_Simonetta_Lamberti,40.709722,14.7025
57,Ravenna,https://en.wikipedia.org/wiki/Stadio_Bruno_Benelli,44.406389,12.194722
60,Sassari,https://en.wikipedia.org/wiki/Stadio_Vanni_Sanna,40.718056,8.579722
61,Spezia Calcio,https://en.wikipedia.org/wiki/Stadio_Alberto_Picco,44.102222,9.808611
62,Inter (1930–1958),https://en.wikipedia.org/wiki/Arena_Civica,45.475833,9.179167
63,Treviso,https://en.wikipedia.org/wiki/Stadio_Omobono_Tenni,45.67,12.255833
0,Barcelona,https://en.wikipedia.org/wiki/Camp_Nou,41.380833,2.122778
1,Real Madrid,https://en.wikipedia.org/wiki/Santiago_Bernab%C3%A9u_Stadium,40.453056,-3.688333
2,Atlético Madrid,https://en.wikipedia.org/wiki/Wanda_Metropolitano,40.436111,-3.599444
3,Real Betis,https://en.wikipedia.org/wiki/Estadio_Benito_Villamar%C3%ADn,37.356389,-5.981389
6,Valencia,https://en.wikipedia.org/wiki/Estadio_Mestalla,39.474656,-0.358361
7,Athletic Bilbao,https://en.wikipedia.org/wiki/San_Mam%C3%A9s_Stadium_(2013),43.264167,-2.950278
8,Sevilla,https://en.wikipedia.org/wiki/Estadio_Ram%C3%B3n_S%C3%A1nchez_Pizju%C3%A1n,37.383889,-5.970556
9,Espanyol,https://en.wikipedia.org/wiki/RCDE_Stadium,41.347861,2.075667
10,Real Sociedad,https://en.wikipedia.org/wiki/Estadio_Anoeta,43.301378,-1.973617
11,Zaragoza,https://en.wikipedia.org/wiki/La_Romareda,41.636592,-0.901822
12,Elche,https://en.wikipedia.org/wiki/Estadio_Manuel_Mart%C3%ADnez_Valero,38.266944,-0.663333
14,Deportivo La Coruña,https://en.wikipedia.org/wiki/Estadio_Riazor,43.368611,-8.4175
15,Murcia,https://en.wikipedia.org/wiki/Estadio_Nueva_Condomina,38.042222,-1.144722
16,Oviedo,https://en.wikipedia.org/wiki/Estadio_Carlos_Tartiere,43.360833,-5.870278
17,Málaga,https://en.wikipedia.org/wiki/Estadio_La_Rosaleda,36.734167,-4.426667
18,Hércules,https://en.wikipedia.org/wiki/Estadio_Jos%C3%A9_Rico_P%C3%A9rez,38.357222,-0.4925
19,Sporting Gijón,https://en.wikipedia.org/wiki/El_Molin%C3%B3n,43.536111,-5.637222
20,Celta Vigo,https://en.wikipedia.org/wiki/Estadio_Bala%C3%ADdos,42.211944,-8.739722
21,Valladolid,https://en.wikipedia.org/wiki/Estadio_Jos%C3%A9_Zorrilla,41.644444,-4.761111
22,Levante,https://en.wikipedia.org/wiki/Estadio_Ciudad_de_Valencia,39.494722,-0.364167
